// name			res sprite	left	top	width	hieght

219
number_8		640 640hud01_2	211	18	15	18
number_9		640 640hud01_2	226	18	15	18

semi_auto		640 640hud01	0	212	96	16
burst			640 640hud01	0	196	96	16
full_auto		640 640hud01	0	180	96	16

divider			640 640hud01	180	216	2	40

cross			640 640hud01_2	216	36	40	24
firstaid		640 640hud01_2	184	36	32	32

suit_full		640 640hud06	96	180	40	40
suit_empty		640 640hud06	136	180	40	40

armor_base		640 640hud01_2	175	100	40	60
armor_chest		640 640hud01_2	215	100	40	60
armor_helmet		640 640hud06	175	160	40	60
armor_rtarm		640 640hud01_2	215	160	40	60
armor_ltarm		640 640hud01_2	175	160	40	60
armor_rtleg		640 640hud06	215	100	40	60
armor_ltleg		640 640hud06	175	100	40	60

flash_full		640 640hud06	179	228	32	32
flash_empty		640 640hud06	131	228	32	32
flash_beam		640 640hud06 	163	228	16	32

train_back		640	640hud5 170	0	72	72
train_stop		640	640hud5 170	72	72	72
train_forward1		640	640hud5 170	144	72	72
train_forward2		640	640hud6 170	0	72	72
train_forward3		640	640hud6 170	72	72	72

autoaim_c		640 	crosshairs	0	0	1	1

title_half		640 640hud4	0	226	256	30
title_life		640 640hud5	0	226	220	30

d_knife			640	deaths	0	0	49  	16
d_coltgov		640	deaths	0	16	22	16
d_desert		640	deaths	0	32	27	16
d_ber93r		640	deaths	0	48	24 	16
d_anaconda		640	deaths	0	64	31	16
d_ber92f		640	deaths	0	80	23	16
d_mp5a5			640	deaths	0	96	44	16
d_uzi			640	deaths	0	112	48	16
d_ak74			640	deaths	0	128	54	16
d_gp25			640	deaths	0	144	44	16
d_m16			640	deaths	0	160   	54	16
d_m203			640	deaths	0	176 	37	16
d_ak47			640	deaths	0	192	53	16
d_bayonet		640	deaths	0	208    	56	16
d_sterling		640	deaths	0	224	48	16
d_bizon			640	deaths	0	240	45	16
d_saiga			640	deaths	64	0	60	16
d_remington		640	deaths	64	16	54	16
d_m249			640	deaths	64	32	60	16
d_m60			640	deaths	64	48	56	16
d_m82			640	deaths	64	64	62	16
d_ssg3000		640	deaths	64	80	52	16
d_svd			640	deaths	64	96	58	16
d_m79			640	deaths	64	112	43	16
d_launcher		640	deaths	64	112	43	16
d_famas			640	deaths	64	128	40	16
d_g36e			640	deaths	64	144	50	16
d_g3a3			640	deaths	64	160	62	16
d_pkm			640	deaths	64	176	62	16
d_frag			640	deaths	64	192	23	16
d_concussion		640	deaths	64	208	29	16
d_m4			640	deaths	64	224	46	16
d_m14			640	deaths	64	240	58	16
d_mortar		640	deaths	24	16	16	16
d_weapmortar		640	deaths	24	16	16	16
d_mortar_shell		640	deaths	24	16	16	16
d_bleed			640	deaths	42	16	10	16
d_ammobox		640	deaths	29	32	23	16
d_chute			640	deaths	26	48	16	16
d_skull			640	deaths	33	64	26	16
d_tracktrain		640	deaths	25	80	33	16
d_claymore		640	deaths	89	192	23	16

item_battery		640 640hud06	212	0	44	44
item_bandage		640 640hud01_2	184	36	32	32
item_longjump		640 640hud06	212	44	44	44

grenade			640 640hud01_2     228      0      28      28

parachute		640 640hud01	192	64	64	64
brokenleg		640 640hud01	192	128	64	64
gotitem			640 640hud01	192	192	64	64
rein			640 rein	0	0	32	64
bipod			640 640hud03	192	0	64	64
blood			640 640hud06_2  192	192	64	64

ranks			640 ranks	0	240	112	16
fatigue			640 fatigue	0	0	32	64
